mode,time_bin_s,ue,alloc_rbg,total_alloc_rbg,share_pct,share_pct_smooth
RR,3.5500000000000003,2,7813,70278,11.117277099519052,11.110567410655435
RR,3.5500000000000003,3,7813,70278,11.117277099519052,11.110567410655435
RR,3.5500000000000003,4,7813,70278,11.117277099519052,11.110567410655435
RR,3.5500000000000003,5,7813,70278,11.117277099519052,11.110567410655435
RR,3.5500000000000003,6,7813,70278,11.117277099519052,11.110567410655435
RR,3.5500000000000003,7,7813,70278,11.117277099519052,11.115059773638365
RR,3.5500000000000003,8,7800,70278,11.098779134295228,11.108893785230421
RR,3.5500000000000003,9,7800,70278,11.098779134295228,11.114315602623613
RR,3.6500000000000004,1,8879,79924,11.109303838646714,11.107917184581959
RR,3.6500000000000004,2,8879,79924,11.109303838646714,11.1140831729899
RR,3.6500000000000004,3,8879,79924,11.109303838646714,11.1140831729899
RR,3.6500000000000004,4,8879,79924,11.109303838646714,11.114083172989902
RR,3.6500000000000004,5,8879,79924,11.109303838646714,11.1140831729899
RR,3.6500000000000004,6,8879,79924,11.109303838646714,11.109525703297075
RR,3.6500000000000004,7,8879,79924,11.109303838646714,11.109525703297075
RR,3.6500000000000004,8,8879,79924,11.109303838646714,11.107917184581959
