mode,time_bin_s,served_ues,served_ues_smooth
MR,22.85,4.0,4.0
MR,22.950000000000003,4.0,4.0
MR,23.05,4.0,4.0
MR,23.150000000000002,4.0,4.0
MR,23.25,4.0,4.0
MR,23.35,4.0,4.0
MR,23.450000000000003,4.0,4.0
MR,23.55,4.0,4.0
MR,23.650000000000002,4.0,4.0
MR,23.75,4.0,4.0
MR,23.85,4.0,4.0
MR,23.950000000000003,4.0,4.0
MR,24.05,4.0,4.0
MR,24.150000000000002,4.0,4.0
MR,24.25,4.0,4.0103519668737055
MR,24.35,4.031055900621118,4.0103519668737055
MR,24.450000000000003,4.0,4.0103519668737055
MR,24.55,4.0,4.0
MR,24.650000000000002,4.0,4.0
MR,24.75,4.0,4.0
MR,24.85,4.0,4.0
MR,24.950000000000003,4.0,4.0
MR,25.05,4.0,4.0
MR,25.150000000000002,4.0,4.0
MR,25.25,4.0,4.0
MR,25.35,4.0,4.0
MR,25.450000000000003,4.0,4.0
MR,25.55,4.0,4.0
MR,25.650000000000002,4.0,4.0
MR,25.75,4.0,4.0
MR,25.85,4.0,4.0
MR,25.950000000000003,4.0,4.0
MR,26.05,4.0,4.0
MR,26.150000000000002,4.0,4.0
MR,26.25,4.0,4.0
MR,26.35,4.0,4.0
MR,26.450000000000003,4.0,4.0
MR,26.55,4.0,4.0
MR,26.650000000000002,4.0,4.0
MR,26.75,4.0,4.0
MR,26.85,4.0,4.0
MR,26.950000000000003,4.0,4.0
MR,27.05,4.0,4.0
MR,27.150000000000002,4.0,4.0
MR,27.25,4.0,4.0
MR,27.35,4.0,4.0
MR,27.450000000000003,4.0,4.0
MR,27.55,4.0,4.0
MR,27.650000000000002,4.0,4.0
MR,27.75,4.0,4.0
MR,27.85,4.0,4.0
MR,27.950000000000003,4.0,4.0
MR,28.05,4.0,4.0
MR,28.150000000000002,4.0,4.0
MR,28.25,4.0,4.0
MR,28.35,4.0,4.0
MR,28.450000000000003,4.0,4.0
MR,28.55,4.0,4.0
MR,28.650000000000002,4.0,4.0
MR,28.75,4.0,4.0
MR,28.85,4.0,4.0
MR,28.950000000000003,4.0,4.0
MR,29.05,4.0,4.0
MR,29.150000000000002,4.0,4.0
MR,29.25,4.0,4.0
MR,29.35,4.0,4.0
MR,29.450000000000003,4.0,4.0
MR,29.55,4.0,4.0
MR,29.650000000000002,4.0,4.0
MR,29.75,4.0,4.0
MR,29.85,4.0,4.0
MR,29.950000000000003,4.0,4.0
MR,30.05,4.0,4.0
MR,30.150000000000002,4.0,4.0
MR,30.25,4.0,4.0
MR,30.35,4.0,4.0
PF,0.45,7.413333333333333,6.809607843137255
PF,0.55,6.205882352941177,6.430033920741292
PF,0.65,5.670886075949367,5.735178517392739
PF,0.75,5.328767123287672,5.371312971174251
PF,0.8500000000000001,5.114285714285714,5.263789148104986
PF,0.9500000000000001,5.348314606741573,5.371591411356921
PF,1.05,5.6521739130434785,5.476956088873497
PF,1.1500000000000001,5.430379746835443,5.345699704808125
PF,1.25,4.954545454545454,5.353207998853873
PF,1.35,5.674698795180723,5.325303638797615
PF,1.4500000000000002,5.346666666666667,5.405390218884196
PF,1.55,5.194805194805195,5.266204906204906
PF,1.6500000000000001,5.257142857142857,5.13080808080808
PF,1.75,4.940476190476191,4.971670117322291
PF,1.85,4.717391304347826,4.802622498274673
PF,1.9500000000000002,4.75,5.020531400966184
PF,2.0500000000000003,5.594202898550725,5.28689547167808
PF,2.15,5.516483516483516,5.268962982226603
PF,2.25,4.69620253164557,5.306450904931918
PF,2.35,5.706666666666667,5.084481303651971
PF,2.45,4.850574712643678,5.091629479377958
PF,2.5500000000000003,4.7176470588235295,5.010835828584307
PF,2.6500000000000004,5.464285714285714,5.319350725364773
PF,2.75,5.776119402985074,5.535831241621909
PF,2.85,5.367088607594937,5.613873569664237
PF,2.95,5.698412698412699,5.377689624525068
PF,3.0500000000000003,5.0675675675675675,5.368147268147268
PF,3.1500000000000004,5.338461538461538,5.286454146454147
PF,3.25,5.453333333333333,5.53397381802445
PF,3.35,5.810126582278481,5.575319971870606
PF,3.45,5.4625,5.339959776510409
PF,3.5500000000000003,4.747252747252747,5.041071428571429
PF,3.6500000000000004,4.913461538461538,4.886904761904762
PF,3.75,5.0,4.914010989010989
PF,3.85,4.828571428571428,5.135565476190476
PF,3.95,5.578125,5.300316434044883
PF,4.05,5.494252873563219,5.385237068965517
PF,4.15,5.083333333333333,5.469451812555261
PF,4.25,5.8307692307692305,5.262065195786126
PF,4.3500000000000005,4.872093023255814,5.331665695161906
PF,4.45,5.292134831460674,5.047574159457468
PF,4.55,4.978494623655914,5.013581465881774
PF,4.65,4.7701149425287355,4.938675098840576
