time_s,alpha_mean,alpha_ci95,n_seeds,alpha_mean_smooth,alpha_ci95_smooth
11.25,0.9940960522716703,0.0008098680201880001,100,0.9940952036860241,0.0008098213309517783
11.350000000000001,0.9940942812268939,0.000809907301243193,100,0.9940959403585546,0.000809908630158127
11.450000000000001,0.9940974875770998,0.000809950569043188,100,0.9940957775016507,0.0008099223567075486
11.55,0.9940955637009584,0.0008099091998362647,100,0.994096527881819,0.000809829163007258
11.65,0.9940965323673986,0.0008096277201423213,100,0.9940948441349727,0.00080977449686937
11.75,0.9940924363365612,0.0008097865706295238,100,0.9940950970245465,0.0008098063649791617
11.850000000000001,0.9940963223696797,0.0008100048041656401,100,0.994095763397692,0.0008099317935768893
11.950000000000001,0.9940985314868351,0.0008100040059355034,100,0.9941024842728399,0.0008101397981831572
12.05,0.9941125989620049,0.0008104105844483281,100,0.9941082123035683,0.0008105438341332354
12.15,0.9941135064618648,0.0008112169120158746,100,0.9941134134844982,0.000810993730313796
12.25,0.994114135029625,0.0008113536944771852,100,0.9941154962277418,0.0008112713890493137
12.350000000000001,0.9941188471917353,0.0008112435606548813,100,0.9941154129649167,0.0008112190766465313
12.450000000000001,0.9941132566733897,0.0008110599748075275,100,0.9941148568544721,0.0008108297791104349
12.55,0.9941124666982916,0.0008101858018688962,100,0.9941066750191089,0.0008104495836057532
12.65,0.9940943016856453,0.0008101029741408361,100,0.9941001902669221,0.0008100292560841539
12.75,0.9940938024168297,0.0008097989922427296,100,0.99409469460513,0.0008098438640149119
12.850000000000001,0.9940959797129154,0.00080962962566117,100,0.9940949601083319,0.0008097278421029712
12.950000000000001,0.9940950981952507,0.000809754908405014,100,0.9940955963174444,0.0008096877332462232
13.05,0.9940957110441669,0.0008096786656724855,100,0.9940949588195481,0.0008098752034255389
13.15,0.9940940672192266,0.0008101920361991175,100,0.9940949098791582,0.0008098600520358928
13.25,0.9940949513740811,0.0008097094542360751,100,0.99410059490109,0.0008092442768539641
13.350000000000001,0.9941127661099621,0.0008078313401266998,100,0.9941067501974876,0.0008094362871494554
