mode,time_bin_s,backlog_mbit,backlog_mbit_smooth
MR,5.3500000000000005,400.89736931147536,400.81173205424324
MR,5.45,408.94057593599996,409.0411154265778
MR,5.550000000000001,417.2854010322581,417.191081733221
MR,5.65,425.347268231405,425.41402160640627
MR,5.75,433.6093955555556,433.5531754882156
MR,5.8500000000000005,441.70286267768597,441.7078723036425
MR,5.95,449.811358677686,449.81970879312394
MR,6.050000000000001,457.944905024,457.9374876454895
MR,6.15,466.05619923478264,466.0349138995942
MR,6.25,474.10363744,474.12519093641214
MR,6.3500000000000005,482.2157361344538,483.6597986879881
MR,6.45,494.6600224895105,496.7685707194036
MR,6.550000000000001,513.4299535342466,512.7476921504767
MR,6.65,530.1531004276729,530.1018269873065
MR,6.75,546.7224269999999,546.7409448092243
MR,6.8500000000000005,563.347307,563.347147
MR,6.95,579.9717069999999,580.0203487902869
MR,7.050000000000001,596.7420323708609,596.6473750894323
MR,7.15,613.2283858974359,613.0961282394322
MR,7.25,629.3179664500001,629.3744298824787
MR,7.3500000000000005,645.5769373,645.5762367333333
MR,7.45,661.83380645,661.8504429808489
MR,7.550000000000001,678.1405851925466,678.1259577676414
MR,7.65,694.4034816603773,694.3842280509747
MR,7.75,710.6086173,710.6258618034591
MR,7.8500000000000005,726.86548645,726.8661870166667
MR,7.95,743.1244573,743.1397028731884
MR,8.05,759.4291648695652,759.4318357731885
MR,8.15,775.7418851499999,775.7073505599809
MR,8.25,791.9510016603774,791.9496747034591
MR,8.35,808.1561373,808.173381803459
MR,8.450000000000001,824.4130064499999,824.4296429808488
MR,8.55,840.7197851925466,840.7210914141821
MR,8.65,857.0304825999999,856.9973008700522
MR,8.75,873.24163481761,873.2389346225367
MR,8.85,889.44468645,889.4633261892033
MR,8.950000000000001,905.7036572999999,905.7189028731883
MR,9.05,922.0083648695653,922.0110357731884
MR,9.15,938.32108515,938.2865505599808
MR,9.25,954.5302016603773,954.5288747034591
MR,9.35,970.7353373,970.7525818034592
MR,9.450000000000001,986.99220645,987.0088429808488
MR,9.55,1003.2989851925466,1003.3002914141822
MR,9.65,1019.6096826,1019.5765008700522
MR,9.75,1035.8208348176101,1035.8181346225367
MR,9.850000000000001,1052.02388645,1052.0425261892035
MR,9.950000000000001,1068.2828573000002,1068.2981028731883
MR,10.05,1084.5875648695653,1084.5902357731884
MR,10.15,1100.90028515,1100.8657505599806
MR,10.25,1117.1094016603774,1117.1080747034591
MR,10.350000000000001,1133.3145373,1133.331781803459
MR,10.450000000000001,1149.57140645,1149.5880429808487
MR,10.55,1165.8781851925467,1165.8794914141822
MR,10.65,1182.1888826,1182.1557008700522
MR,10.75,1198.40003481761,1198.3973346225366
MR,10.850000000000001,1214.60308645,1214.6217261892032
MR,10.950000000000001,1230.8620573,1230.8773028731882
MR,11.05,1247.1667648695652,1247.1694357731883
MR,11.15,1263.47948515,1263.4449505599807
MR,11.25,1279.6886016603773,1279.6872747034593
MR,11.350000000000001,1295.8937373,1295.9109818034592
MR,11.450000000000001,1312.15060645,1312.1672429808489
MR,11.55,1328.4573851925466,1328.458691414182
MR,11.65,1344.7680826,1344.7349008700523
MR,11.75,1360.9792348176102,1360.9765346225367
MR,11.850000000000001,1377.18228645,1377.2009261892033
MR,11.950000000000001,1393.4412573,1393.4565028731886
MR,12.05,1409.7459648695653,1409.7486357731884
MR,12.15,1426.05868515,1426.0241505599809
MR,12.25,1442.2678016603772,1442.266474703459
MR,12.350000000000001,1458.4729373,1461.241133953459
MR,12.450000000000001,1482.9826629,1485.7662104020703
MR,12.55,1515.8430310062113,1515.844727968737
MR,12.65,1548.70849,1548.640269433936
MR,12.75,1581.3692872955976,1581.3673850985324
MR,12.850000000000001,1614.024378,1614.0594544318658
MR,12.950000000000001,1646.784698,1646.7846980000002
MR,13.05,1679.545018,1679.5782040496895
MR,13.15,1712.4048961490682,1712.3736004815553
MR,13.25,1745.1708872955976,1745.1339204815552
MR,13.350000000000001,1777.825978,1777.861054431866
MR,13.450000000000001,1810.5862980000002,1810.586298
MR,13.55,1843.346618,1843.3798040496895
MR,13.65,1876.2064961490682,1876.1752004815553
MR,13.75,1908.9724872955974,1908.9355204815554
MR,13.850000000000001,1941.627578,1941.6626544318658
MR,13.950000000000001,1974.3878980000002,1974.387898
MR,14.05,2007.1482179999998,2007.1814040496895
MR,14.15,2040.0080961490683,2039.976800481555
MR,14.25,2072.7740872955974,2072.7371204815554
MR,14.350000000000001,2105.429178,2105.464254431866
MR,14.450000000000001,2138.189498,2138.189498
MR,14.55,2170.949818,2170.9830040496895
MR,14.65,2203.8096961490683,2203.7784004815553
