scheduler,ue,time_s,mean,CI95_low,CI95_high,n
PF,2,11.25,11.586195112838482,,,1
PF,2,11.35,11.368990411686694,,,1
PF,2,11.45,11.486445283858544,,,1
PF,2,11.55,11.709880387532309,,,1
PF,2,11.65,11.855351451784664,,,1
PF,2,11.75,11.482179026725449,,,1
PF,2,11.85,11.215835740724025,,,1
PF,2,11.95,10.82017105012388,,,1
PF,2,12.05,11.6377334667429,,,1
PF,2,12.15,11.38057121075989,,,1
PF,2,12.25,11.876709059838916,,,1
PF,2,12.35,11.481196325104984,,,1
PF,2,12.45,11.60051436895133,,,1
PF,2,12.55,11.49842134386494,,,1
PF,2,12.65,11.24403890040181,,,1
PF,2,12.75,11.624535507313508,,,1
PF,2,12.85,11.314394609838695,,,1
PF,2,12.95,11.87928883511028,,,1
PF,2,13.05,11.413234972830002,,,1
PF,2,13.15,11.659233847913091,,,1
PF,2,13.25,11.045655718611693,,,1
PF,2,13.35,11.398726230448888,,,1
PF,2,13.45,11.448802464487386,,,1
PF,2,13.55,11.959706228557948,,,1
PF,2,13.65,11.66041385909611,,,1
PF,2,13.75,11.392403567500912,,,1
PF,2,13.85,11.1873833102407,,,1
PF,2,13.95,11.259878874656826,,,1
PF,2,14.05,11.3743102351132,,,1
PF,2,14.15,11.52165050076323,,,1
PF,2,14.25,11.563091678667767,,,1
PF,2,14.35,11.55955835946771,,,1
PF,2,14.45,11.617813557605798,,,1
PF,2,14.55,11.654098027852532,,,1
PF,2,14.65,11.513288714546576,,,1
PF,2,14.75,11.648059604034446,,,1
PF,2,14.85,11.621826539548604,,,1
PF,2,14.95,11.60137680796826,,,1
PF,2,15.05,11.354717252207706,,,1
PF,2,15.15,11.130938274228676,,,1
PF,2,15.25,11.078940545023428,,,1
PF,2,15.35,10.841241691897272,,,1
PF,2,15.45,11.241825521521298,,,1
PF,2,15.55,11.85715959886826,,,1
PF,2,15.65,11.92132324793757,,,1
PF,2,15.75,11.71743344755474,,,1
PF,2,15.85,11.812242816546451,,,1
PF,2,15.95,11.521664073137522,,,1
PF,2,16.05,11.41890126990302,,,1
PF,2,16.150000000000002,10.932614555256066,,,1
PF,2,16.25,11.692814523003202,,,1
PF,2,16.35,11.90190351615928,,,1
PF,2,16.45,11.797081713224271,,,1
PF,2,16.55,11.188151859011398,,,1
PF,2,16.650000000000002,11.346619837185877,,,1
PF,2,16.75,11.272768112390755,,,1
PF,2,16.85,11.53429137207324,,,1
PF,2,16.95,11.374801738899398,,,1
PF,2,17.05,11.490582184868522,,,1
PF,2,17.150000000000002,11.579965879866576,,,1
PF,2,17.25,11.75596394039126,,,1
PF,2,17.35,11.718968009943609,,,1
PF,2,17.45,11.969483777700754,,,1
PF,2,17.55,11.226570588937198,,,1
PF,2,17.650000000000002,11.626631127732477,,,1
PF,2,17.75,11.339347096791974,,,1
PF,2,17.85,11.669315410555305,,,1
PF,2,17.95,11.73019676074483,,,1
PF,2,18.05,11.420545390296814,,,1
PF,2,18.15,11.621632114294586,,,1
PF,2,18.25,11.387049021494375,,,1
PF,2,18.35,11.68016184081265,,,1
PF,2,18.45,11.457415509575748,,,1
PF,2,18.55,11.373688596699528,,,1
PF,2,18.65,11.835195701288391,,,1
PF,2,18.75,11.324189411980216,,,1
PF,2,18.85,11.65880503144654,,,1
PF,2,18.95,11.149814546040965,,,1
PF,2,19.05,11.56507014997581,,,1
PF,2,19.15,11.147849847026038,,,1
PF,2,19.25,11.692730406262624,,,1
PF,2,19.35,11.717270627685537,,,1
PF,2,19.450000000000003,11.682883662990308,,,1
PF,2,19.55,11.393775803580828,,,1
PF,2,19.65,11.495191497587514,,,1
PF,2,19.75,11.44964392845504,,,1
PF,2,19.85,11.3459434750398,,,1
PF,2,19.950000000000003,11.23667007466617,,,1
