scheduler,ue,time_s,mean,CI95_low,CI95_high,n
IA-FMR,1,25.65,11.320754716981131,,,1
IA-FMR,1,25.75,11.320754716981131,,,1
IA-FMR,1,25.85,11.320754716981131,,,1
IA-FMR,1,25.950000000000003,11.320754716981131,,,1
IA-FMR,1,26.05,11.320754716981131,,,1
IA-FMR,1,26.15,11.320754716981131,,,1
IA-FMR,1,26.25,11.320754716981131,,,1
IA-FMR,1,26.35,11.320754716981131,,,1
IA-FMR,1,26.450000000000003,11.320754716981131,,,1
IA-FMR,1,26.55,11.320754716981131,,,1
IA-FMR,1,26.65,11.320754716981131,,,1
IA-FMR,1,26.75,11.320754716981131,,,1
IA-FMR,1,26.85,11.320754716981131,,,1
IA-FMR,1,26.950000000000003,11.320754716981131,,,1
IA-FMR,1,27.05,11.320754716981131,,,1
IA-FMR,1,27.15,11.320754716981131,,,1
IA-FMR,1,27.25,11.320754716981131,,,1
IA-FMR,1,27.35,11.320754716981131,,,1
IA-FMR,1,27.450000000000003,11.320754716981131,,,1
IA-FMR,1,27.55,11.320754716981131,,,1
IA-FMR,1,27.65,11.320754716981131,,,1
IA-FMR,1,27.75,11.320754716981131,,,1
IA-FMR,1,27.85,11.320754716981131,,,1
IA-FMR,1,27.950000000000003,11.320754716981131,,,1
IA-FMR,1,28.05,11.320754716981131,,,1
IA-FMR,1,28.15,11.320754716981131,,,1
IA-FMR,1,28.25,11.320754716981131,,,1
IA-FMR,1,28.35,11.320754716981131,,,1
IA-FMR,1,28.450000000000003,11.320754716981131,,,1
IA-FMR,1,28.55,11.320754716981131,,,1
IA-FMR,1,28.65,11.320754716981131,,,1
IA-FMR,1,28.75,11.320754716981131,,,1
IA-FMR,1,28.85,11.320754716981131,,,1
IA-FMR,1,28.950000000000003,11.320754716981131,,,1
IA-FMR,1,29.05,11.320754716981131,,,1
IA-FMR,1,29.15,11.320754716981131,,,1
IA-FMR,1,29.25,11.320754716981131,,,1
IA-FMR,1,29.35,11.320754716981131,,,1
IA-FMR,1,29.450000000000003,11.320754716981131,,,1
IA-FMR,1,29.55,11.320754716981131,,,1
IA-FMR,1,29.65,11.320754716981131,,,1
IA-FMR,1,29.75,11.320754716981131,,,1
IA-FMR,1,29.85,11.320754716981131,,,1
IA-FMR,1,29.950000000000003,11.320754716981131,,,1
IA-FMR,1,30.05,11.320754716981131,,,1
IA-FMR,1,30.15,11.320754716981131,,,1
IA-FMR,1,30.25,11.320754716981131,,,1
IA-FMR,1,30.35,11.320754716981131,,,1
IA-FMR,2,0.45,10.364945382323734,,,1
IA-FMR,2,0.55,10.396947108636173,,,1
IA-FMR,2,0.65,10.431597032288884,,,1
IA-FMR,2,0.75,10.469653355647454,,,1
IA-FMR,2,0.8500000000000001,10.47984565544102,,,1
IA-FMR,2,0.95,10.487521531867165,,,1
IA-FMR,2,1.05,10.475503745543405,,,1
IA-FMR,2,1.15,10.467879558520805,,,1
IA-FMR,2,1.25,10.465673762296824,,,1
IA-FMR,2,1.35,10.483982911119131,,,1
IA-FMR,2,1.4500000000000002,10.481592276205264,,,1
IA-FMR,2,1.55,10.4840163441894,,,1
IA-FMR,2,1.65,10.467710159754384,,,1
IA-FMR,2,1.75,10.481464693679785,,,1
IA-FMR,2,1.85,10.483480497582384,,,1
IA-FMR,2,1.95,10.491492355131555,,,1
IA-FMR,2,2.0500000000000003,10.48775264314262,,,1
IA-FMR,2,2.15,10.48551856747987,,,1
IA-FMR,2,2.25,10.481512638705285,,,1
IA-FMR,2,2.35,10.477724981690852,,,1
IA-FMR,2,2.45,10.46988003784062,,,1
IA-FMR,2,2.5500000000000003,10.473885966615205,,,1
IA-FMR,2,2.6500000000000004,10.473667694855052,,,1
IA-FMR,2,2.75,10.47950967431799,,,1
IA-FMR,2,2.85,10.473888451682685,,,1
IA-FMR,2,2.95,10.469882522908096,,,1
IA-FMR,2,3.0500000000000003,10.474119562958142,,,1
IA-FMR,2,3.1500000000000004,10.487198363689531,,,1
IA-FMR,2,3.25,10.48149960694891,,,1
IA-FMR,2,3.35,10.473436391338526,,,1
IA-FMR,2,3.45,10.45996992008056,,,1
IA-FMR,2,3.5500000000000003,10.471677569983065,,,1
IA-FMR,2,3.65,10.485252350694218,,,1
IA-FMR,2,3.75,10.48947655122896,,,1
IA-FMR,2,3.85,10.49147951561625,,,1
IA-FMR,2,3.95,10.479727946078144,,,1
IA-FMR,2,4.05,10.473862606980914,,,1
IA-FMR,2,4.15,10.467650881982346,,,1
IA-FMR,2,4.25,10.473890886419682,,,1
IA-FMR,2,4.3500000000000005,10.49155574008052,,,1
IA-FMR,2,4.45,10.483746714368031,,,1
IA-FMR,2,4.55,10.475683498757649,,,1
IA-FMR,2,4.65,10.467671641208476,,,1
IA-FMR,2,4.75,10.467825715392117,,,1
IA-FMR,2,4.8500000000000005,10.473873127099903,,,1
IA-FMR,2,4.95,10.473632264293837,,,1
IA-FMR,2,5.050000000000001,10.477663872099027,,,1
IA-FMR,2,5.15,10.481451529113462,,,1
IA-FMR,2,5.25,10.4738731270999,,,1
IA-FMR,2,5.3500000000000005,10.479702267047536,,,1
IA-FMR,2,5.45,10.469687445111072,,,1
IA-FMR,2,5.550000000000001,10.47191133199716,,,1
IA-FMR,2,5.65,10.479394104613844,,,1
IA-FMR,2,5.75,10.48178473952771,,,1
IA-FMR,2,5.8500000000000005,10.479368259912071,,,1
IA-FMR,2,5.95,10.47764084066141,,,1
IA-FMR,2,6.050000000000001,10.47358322248328,,,1
IA-FMR,2,6.15,10.492983003341342,,,1
IA-FMR,2,6.25,10.47549415537105,,,1
IA-FMR,2,6.3500000000000005,10.451085046018235,,,1
IA-FMR,2,6.45,10.40164079935078,,,1
IA-FMR,2,6.550000000000001,10.379323899371068,,,1
IA-FMR,2,6.65,10.37735849056604,,,1
IA-FMR,2,6.75,10.37735849056604,,,1
IA-FMR,2,6.8500000000000005,10.37735849056604,,,1
IA-FMR,2,6.95,10.37735849056604,,,1
IA-FMR,2,7.050000000000001,10.37735849056604,,,1
IA-FMR,2,7.15,10.37735849056604,,,1
IA-FMR,2,7.25,10.37735849056604,,,1
IA-FMR,2,7.35,10.37735849056604,,,1
IA-FMR,2,7.45,10.37735849056604,,,1
IA-FMR,2,7.550000000000001,10.37735849056604,,,1
IA-FMR,2,7.65,10.37735849056604,,,1
IA-FMR,2,7.75,10.37735849056604,,,1
IA-FMR,2,7.85,10.37735849056604,,,1
IA-FMR,2,7.95,10.37735849056604,,,1
IA-FMR,2,8.05,10.37735849056604,,,1
IA-FMR,2,8.15,10.37735849056604,,,1
IA-FMR,2,8.25,10.37735849056604,,,1
IA-FMR,2,8.35,10.37735849056604,,,1
IA-FMR,2,8.450000000000001,10.37735849056604,,,1
IA-FMR,2,8.55,10.37735849056604,,,1
IA-FMR,2,8.65,10.37735849056604,,,1
IA-FMR,2,8.75,10.37735849056604,,,1
IA-FMR,2,8.85,10.37735849056604,,,1
IA-FMR,2,8.950000000000001,10.37735849056604,,,1
IA-FMR,2,9.05,10.37735849056604,,,1
IA-FMR,2,9.15,10.37735849056604,,,1
IA-FMR,2,9.25,10.37735849056604,,,1
IA-FMR,2,9.35,10.37735849056604,,,1
IA-FMR,2,9.45,10.37735849056604,,,1
IA-FMR,2,9.55,10.37735849056604,,,1
IA-FMR,2,9.65,10.37735849056604,,,1
IA-FMR,2,9.75,10.37735849056604,,,1
IA-FMR,2,9.85,10.37735849056604,,,1
IA-FMR,2,9.95,10.37735849056604,,,1
IA-FMR,2,10.05,10.37735849056604,,,1
IA-FMR,2,10.15,10.37735849056604,,,1
IA-FMR,2,10.25,10.37735849056604,,,1
IA-FMR,2,10.35,10.37735849056604,,,1
IA-FMR,2,10.45,10.37735849056604,,,1
IA-FMR,2,10.55,10.37735849056604,,,1
IA-FMR,2,10.65,10.37735849056604,,,1
IA-FMR,2,10.75,10.37735849056604,,,1
IA-FMR,2,10.85,10.37735849056604,,,1
IA-FMR,2,10.95,10.37735849056604,,,1
IA-FMR,2,11.05,10.37735849056604,,,1
IA-FMR,2,11.15,10.37735849056604,,,1
IA-FMR,2,11.25,10.37735849056604,,,1
IA-FMR,2,11.35,10.37735849056604,,,1
IA-FMR,2,11.45,10.37735849056604,,,1
IA-FMR,2,11.55,10.37735849056604,,,1
IA-FMR,2,11.65,10.37735849056604,,,1
IA-FMR,2,11.75,10.37735849056604,,,1
IA-FMR,2,11.85,10.37735849056604,,,1
IA-FMR,2,11.95,10.37735849056604,,,1
