figure,panel,scheduler,ue,time_s,rbg_share_pct
fig06,(a) RR,RR,1,24.950000000000003,11.11026941625793
fig06,(a) RR,RR,1,25.05,11.109449071713222
fig06,(a) RR,RR,1,25.15,11.114783591299046
fig06,(a) RR,RR,1,25.25,11.113656475138455
fig06,(a) RR,RR,1,25.35,11.11391493985802
fig06,(a) RR,RR,1,25.450000000000003,11.112688301738569
fig06,(a) RR,RR,1,25.55,11.109993789667156
fig06,(a) RR,RR,1,25.65,11.109993789667156
fig06,(a) RR,RR,1,25.75,11.10737324459378
fig06,(a) RR,RR,1,25.85,11.109606663690403
fig06,(a) RR,RR,1,25.950000000000003,11.109241600527175
fig06,(a) RR,RR,1,26.05,11.114729911907268
fig06,(a) RR,RR,1,26.15,11.11072762488611
fig06,(a) RR,RR,1,26.25,11.113580259293988
fig06,(a) RR,RR,1,26.35,11.105143834706352
fig06,(a) RR,RR,1,26.450000000000003,11.113230088075625
fig06,(a) RR,RR,1,26.55,11.10838761605271
fig06,(a) RR,RR,1,26.65,11.113166521023848
fig06,(a) RR,RR,1,26.75,11.110211019061396
fig06,(a) RR,RR,1,26.85,11.112700536881102
fig06,(a) RR,RR,1,26.950000000000003,11.108026174931508
fig06,(a) RR,RR,1,27.05,11.110005076245498
fig06,(a) RR,RR,1,27.15,11.110801863598889
fig06,(a) RR,RR,1,27.25,11.115476225548484
fig06,(a) RR,RR,1,27.35,11.113354644829409
fig06,(a) RR,RR,1,27.450000000000003,11.109174776746045
fig06,(a) RR,RR,1,27.55,11.109736656571188
fig06,(a) RR,RR,1,27.65,11.108500101727126
fig06,(a) RR,RR,1,27.75,11.110269787169386
fig06,(a) RR,RR,1,27.85,11.111545878683378
fig06,(a) RR,RR,1,27.950000000000003,11.11251134265778
fig06,(a) RR,RR,1,28.05,11.11215932914046
fig06,(a) RR,RR,1,28.15,11.108761656907395
fig06,(a) RR,RR,1,28.25,11.109635171931853
fig06,(a) RR,RR,1,28.35,11.11300444416905
fig06,(a) RR,RR,1,28.450000000000003,11.11161026255366
fig06,(a) RR,RR,1,28.55,11.114106019766396
fig06,(a) RR,RR,1,28.65,11.110022053418282
fig06,(a) RR,RR,1,28.75,11.112717471208038
fig06,(a) RR,RR,1,28.85,11.1102217139953
fig06,(a) RR,RR,1,28.950000000000003,11.112901816911252
fig06,(a) RR,RR,1,29.05,11.108092345953056
fig06,(a) RR,RR,1,29.15,11.112707142308686
fig06,(a) RR,RR,1,29.25,11.109776269529254
fig06,(a) RR,RR,1,29.35,11.111703140906734
fig06,(a) RR,RR,1,29.450000000000003,11.111455919673398
fig06,(a) RR,RR,1,29.55,11.108557190065026
fig06,(a) RR,RR,1,29.65,11.113236734838909
fig06,(a) RR,RR,1,29.75,11.108869159716615
fig06,(a) RR,RR,1,29.85,11.114950737592244
fig06,(a) RR,RR,1,29.950000000000003,11.112454980379509
fig06,(a) RR,RR,1,30.05,11.11185255622471
fig06,(a) RR,RR,1,30.15,11.109190173711848
fig06,(a) RR,RR,1,30.25,11.111340364541284
fig06,(a) RR,RR,1,30.35,11.112358627488568
fig06,(a) RR,RR,2,0.45,11.113164072689331
fig06,(a) RR,RR,2,0.55,11.111082128124124
fig06,(a) RR,RR,2,0.65,11.109100203278716
fig06,(a) RR,RR,2,0.75,11.112377510268743
fig06,(a) RR,RR,2,0.8500000000000001,11.115045701616175
fig06,(a) RR,RR,2,0.95,11.1114935561203
fig06,(a) RR,RR,2,1.05,11.109857197658192
fig06,(a) RR,RR,2,1.15,11.109178843925791
fig06,(a) RR,RR,2,1.25,11.111695655547203
fig06,(a) RR,RR,2,1.35,11.110770757286012
fig06,(a) RR,RR,2,1.4500000000000002,11.112674300922848
fig06,(a) RR,RR,2,1.55,11.113195802429985
fig06,(a) RR,RR,2,1.65,11.109496209385222
fig06,(a) RR,RR,2,1.75,11.111615248528112
fig06,(a) RR,RR,2,1.85,11.107985056218675
fig06,(a) RR,RR,2,1.95,11.11527213342806
fig06,(a) RR,RR,2,2.0500000000000003,11.111614613811565
fig06,(a) RR,RR,2,2.15,11.111423177888996
fig06,(a) RR,RR,2,2.25,11.108945571637804
fig06,(a) RR,RR,2,2.35,11.109735324947588
fig06,(a) RR,RR,2,2.45,11.114149166755498
fig06,(a) RR,RR,2,2.5500000000000003,11.111453748965742
fig06,(a) RR,RR,2,2.6500000000000004,11.111595400050788
fig06,(a) RR,RR,2,2.75,11.109876070314291
fig06,(a) RR,RR,2,2.85,11.111270251929689
fig06,(a) RR,RR,2,2.95,11.10989540316305
fig06,(a) RR,RR,2,3.0500000000000003,11.112541675887917
fig06,(a) RR,RR,2,3.1500000000000004,11.112016983882125
fig06,(a) RR,RR,2,3.25,11.110981650007654
fig06,(a) RR,RR,2,3.35,11.107465887673191
fig06,(a) RR,RR,2,3.45,11.110648333303097
fig06,(a) RR,RR,2,3.5500000000000003,11.110567410655436
fig06,(a) RR,RR,2,3.65,11.1140831729899
fig06,(a) RR,RR,2,3.75,11.112620057096493
fig06,(a) RR,RR,2,3.85,11.11270097974415
fig06,(a) RR,RR,2,3.95,11.110722078430165
fig06,(a) RR,RR,2,4.05,11.110129864854256
fig06,(a) RR,RR,2,4.15,11.108360179411996
fig06,(a) RR,RR,2,4.25,11.110339080725987
fig06,(a) RR,RR,2,4.3500000000000005,11.11160964803429
fig06,(a) RR,RR,2,4.45,11.11329841082889
fig06,(a) RR,RR,2,4.55,11.111779254264617
fig06,(a) RR,RR,2,4.65,11.11050868695631
fig06,(a) RR,RR,2,4.75,11.110508686956312
fig06,(a) RR,RR,2,4.8500000000000005,11.11185255622471
fig06,(a) RR,RR,2,4.95,11.109491704807256
fig06,(a) RR,RR,2,5.050000000000001,11.109572627454916
fig06,(a) RR,RR,2,5.15,11.109747914750791
fig06,(a) RR,RR,2,5.25,11.110269787169386
fig06,(a) RR,RR,2,5.3500000000000005,11.114963300733642
fig06,(a) RR,RR,2,5.45,11.110093675582403
fig06,(a) RR,RR,2,5.550000000000001,11.112446486948592
