figure,panel,scheduler,time_s,value
fig05,(a) Effective number of UEs.,RR,28.85,8.999997214827502
fig05,(a) Effective number of UEs.,RR,28.950000000000003,8.999998233009933
fig05,(a) Effective number of UEs.,RR,29.05,8.999997239663935
fig05,(a) Effective number of UEs.,RR,29.15,8.999995908947172
fig05,(a) Effective number of UEs.,RR,29.25,8.999995342323167
fig05,(a) Effective number of UEs.,RR,29.35,8.999995104137799
fig05,(a) Effective number of UEs.,RR,29.450000000000003,8.999994348926856
fig05,(a) Effective number of UEs.,RR,29.55,8.999995214530392
fig05,(a) Effective number of UEs.,RR,29.65,8.999995597659753
fig05,(a) Effective number of UEs.,RR,29.75,8.999997683587459
fig05,(a) Effective number of UEs.,RR,29.85,8.999997507264192
fig05,(a) Effective number of UEs.,RR,29.950000000000003,8.999999210062539
fig05,(a) Effective number of UEs.,RR,30.05,8.999998575106828
fig05,(a) Effective number of UEs.,RR,30.15,8.999998034327525
fig05,(a) Effective number of UEs.,RR,30.25,8.999996770427789
fig05,(a) Effective number of UEs.,RR,30.35,8.999996108075248
fig05,(a) Effective number of UEs.,PF,0.45,8.870911230230455
fig05,(a) Effective number of UEs.,PF,0.55,8.874589005830904
fig05,(a) Effective number of UEs.,PF,0.65,8.835223028286789
fig05,(a) Effective number of UEs.,PF,0.75,8.872691620085407
fig05,(a) Effective number of UEs.,PF,0.8500000000000001,8.876572091559309
fig05,(a) Effective number of UEs.,PF,0.95,8.846739885615607
fig05,(a) Effective number of UEs.,PF,1.05,8.822701959183723
fig05,(a) Effective number of UEs.,PF,1.15,8.810061020388035
fig05,(a) Effective number of UEs.,PF,1.25,8.82294711551073
fig05,(a) Effective number of UEs.,PF,1.35,8.752444606589034
fig05,(a) Effective number of UEs.,PF,1.4500000000000002,8.710958032642884
fig05,(a) Effective number of UEs.,PF,1.55,8.747117262981353
fig05,(a) Effective number of UEs.,PF,1.65,8.766333121556235
fig05,(a) Effective number of UEs.,PF,1.75,8.779756874840784
fig05,(a) Effective number of UEs.,PF,1.85,8.698327483478879
fig05,(a) Effective number of UEs.,PF,1.95,8.75122919367179
fig05,(a) Effective number of UEs.,PF,2.0500000000000003,8.736068092660172
fig05,(a) Effective number of UEs.,PF,2.15,8.742544094479928
fig05,(a) Effective number of UEs.,PF,2.25,8.716840785722004
fig05,(a) Effective number of UEs.,PF,2.35,8.777478677393463
fig05,(a) Effective number of UEs.,PF,2.45,8.798149449604294
fig05,(a) Effective number of UEs.,PF,2.5500000000000003,8.769399293240967
fig05,(a) Effective number of UEs.,PF,2.6500000000000004,8.574569673914601
fig05,(a) Effective number of UEs.,PF,2.75,8.61138398467959
fig05,(a) Effective number of UEs.,PF,2.85,8.56848754653634
fig05,(a) Effective number of UEs.,PF,2.95,8.77344326275854
fig05,(a) Effective number of UEs.,PF,3.0500000000000003,8.804795161039548
fig05,(a) Effective number of UEs.,PF,3.1500000000000004,8.893178602170837
fig05,(a) Effective number of UEs.,PF,3.25,8.862101610236921
fig05,(a) Effective number of UEs.,PF,3.35,8.804443611025048
fig05,(a) Effective number of UEs.,PF,3.45,8.850693380782412
fig05,(a) Effective number of UEs.,PF,3.5500000000000003,8.795486230434621
fig05,(a) Effective number of UEs.,PF,3.65,8.790215208807325
fig05,(a) Effective number of UEs.,PF,3.75,8.761251808423639
fig05,(a) Effective number of UEs.,PF,3.85,8.777739424800755
fig05,(a) Effective number of UEs.,PF,3.95,8.809582046186165
fig05,(a) Effective number of UEs.,PF,4.05,8.849970419854447
fig05,(a) Effective number of UEs.,PF,4.15,8.799155300453398
fig05,(a) Effective number of UEs.,PF,4.25,8.763370871257514
